400	-2.4
300	-4.1
400	-2.5
200	-1
200	-3.5
200	-2.6
360	-0.9
240	0.6
900	2.6
500	1.3
500	0
300	1.1
350	2.9
250	2.3
300	3.6
300	5.2
300	4.8
200	4
200	2.5
630	-3
220	-1
250	-2.3
300	-0.7
800	-2.8
600	-2
400	-1
400	-1.9
200	-0.8
200	0
200	-1.9
300	-0.7
200	0
200	-1.7
600	0
300	1.5
300	2
300	1.5
700	0.3
200	1.9
700	2.8
300	2.2
500	2.7
300	1.4
400	2.8
400	2.4
900	3.2
300	2.5
400	3
600	2.3
200	0.6
500	3.4
300	2.7
300	2.3
300	0
500	-2.5
200	-1
500	-1.2
300	-2.9
300	0
200	3
200	4.3
200	5
500	5.6
400	4.7
200	4.3
400	5.8
400	4.5
200	5.3
400	4.7
200	3.4
250	0
750	-2
400	-3.1
700	-2.2
500	-2.8
200	-3.7
300	-2.4
200	-3
300	-2
300	-2.5
500	-2.8
400	-2.3
200	-3.6
300	-2.1
300	-2.5
500	-1.4
500	-0.3
800	-1.4
300	-8
700	-2.5
200	-2
1100	-2.8
500	-3.2
1000	-1.9
900	-2.6
1500	-2
300	-0.3
500	-2.5
200	-3.6
800	-2.7
300	-3.6
200	-1
400	1.9
300	0
300	-0.2
600	-2.1
1000	-1.6
600	-0.3
800	2.2
200	2.1
200	0.2
700	-2.4
400	-1.2
700	-0.1
500	-1.1
700	-2.6
500	-2.7
400	-1.6
1200	-2.6
300	-2
200	1
500	3.2
200	-1
2000	-3
400	-4
600	-3.3
500	-3.7
800	-1.9
200	-2.8
200	-0.9
300	-3.8
300	-1.7
600	-3.2
200	-1.2
100	-7.6
200	-1.2
600	-2.5
200	-4.8
500	0
200	1.6
300	4.1
900	2.6
200	4.1
100	12.8
400	19.4
200	19.4
100	-12.3
200	-12.3
200	-16.4
100	-7.8
200	-1.6
600	-2.6
300	-1.6
200	-3.2
500	-0.8
400	0.8
400	3.3
200	-0.2
525	-1.8
500	-1
200	-3.2
600	-6.4
300	-4.9
400	-8.1
300	-7.4
100	-1.9
200	2.8
200	7.6
200	2.6
1000	0
semaphores:4
1600 НМ1А
3300 Н1А
4000 Н1
4700 3
5500 1
6600 Н
7700 НМ1А
8700 Н1
10200 25
11500 23
12700 21
13800 19
15300 17
16400 15
17500 13
18600 11
19700 9
21000 7
22100 5
23200 3
24400 1
25600 Н
27500 Н1
28200 Н1А
29300 11
30400 9
31600 7
32700 5
33700 3
34800 1
36000 Н
37500 НМ1А
38500 Н1
39600 3
40700 1
41700 Н
43200 НМ1Г
44700 НМ1В
46300 НМ1А
47400 Н1
48800 3
50000 1
51200 Н
52600 Н1
53700 11
54700 9
55900 7
57100 5
58200 3
59300 1
60900 Н
62500 Н1
63500 27
64700 25
65700 23
66800 21
68000 19
69100 17
70100 15
71200 13
72300 11
73300 9
74300 7
75400 5
76500 3
77700 1
79000 Н
80600 Н1
81600 27
82600 25
83700 23
85000 21
86300 19
87500 17
88700 15
89800 13
91000 11
92200 9
93400 7
94700 5
96000 3
97300 1
98500 Н
100500 НМ1
101700 Н1
103200 21
104500 19
105700 17
107200 15
108400 13
109700 11
111000 9
112300 7
113600 5
114900 3
116200 1
117500 Н
119100 НМ51
120600 НМ31
122100 НМ1
123400 Н21
124800 25
126200 23
127500 21
128900 19
130300 17
131700 15
133000 13
134400 11
135700 9
137000 7
138300 5
139600 3
141000 1
142500 Н
144000 НМ1
145300 Н1
146800 17
148200 15
149600 13
151000 11
152200 9
153500 7
154900 5
156100 3
157400 1
158700 Н
160000 Н1
162000 Н
163800 НМ1
165500 Н1
166700 31
167700 29
168700 27
169800 25
170800 23
171900 21
172900 19
174000 17
175100 15
176100 13
177200 11
178300 9
179400 7
180500 5
181600 3
182700 1
183900 Н
185300 НМ1А
186400 Н1
187600 15
188700 13
189900 11
191100 9
192300 7
193500 5
194700 3
195900 1
197200 Н
198700 НМ1
200200 Н1
201500 17
202700 15
203900 13
205000 11
206100 9
207300 7
208200 5
209500 3
210600 1
212000 Н
213100 НМ1
214300 Н1
215500 15
216700 13
217700 11
218800 9
220000 7
221200 5
222400 3
223600 1
225000 Н
226800 НМ1Б
228000 Н1
229600 19
230800 17
231900 15
233000 13
234100 11
235200 9
236400 7
237600 5
238800 3
240100 1
241400 Н
242900 Н1
244000 17
245400 15
246600 13
247800 11
249200 9
250500 7
251700 5
252900 3
254200 1
255300 Н
256500 Н1
257900 11
259300 9
260600 7
262100 5
263300 3
264500 1
265700 Н
267000 НМ1
267900 Н1
269100 15
270200 13
271500 11
272800 9
274100 7
275300 5
276600 3
278000 1
279300 Н
280300 НМ
281400 НМ1
282700 Н1А
284100 9
285500 7
286700 5
288100 3
289500 1
291000 1Н
292200 НМ1Б
293400 НМ1А
294700 Н1
295600 9
296600 7
297500 5
298000 3
298700 1
299400 1Н
300300 1НМ
301100 НМ1
302000 Н1
302900 19
303700 17
304500 15
305100 13
305800 11
306700 9
307400 7
308200 5
308800 3
310000 1
310900 1Н
311600 1НМ
312500 НМ1
313500 Н1
314400 5
315000 3
315600 1
317200 1НМ
318000 1НМА
320300 Н1
320800 11
321600 9
322600 7
323500 5
324700 3
325600 1
326200 1Н
328500 1Н
stations:
1000 500 Бологое
7950 400 Бушевец
27600 500 Академическая
37800 400 Леонтьево
45970 300 В.Волочёк
52000 400 Елизаровка
61500 400 Осеченка
79700 350 Спирово
100000 400 Калашниково
123000 400 Лихославль
132500 400 Крючково
144200 400 Кулицкая
160300 400 Дорошиха
165000 500 Тверь
185100 400 Кузьминка
198000 400 Редькино
213420 400 Завидово
226810 400 Решетниково
242400 500 Клин
256400 400 Покровка
266860 400 Подсолнечная
280170 400 Поварово
293300 400 Крюково
301400 400 Сходня
312500 400 Химки
317500 400 Ховрино
328000 400 Москва-тов.
330300 700 Москва-пасс
